ROLL_DMP,ROLL_ACC,ROLL_RATE_DMP,ROLL_RATE_GYRO
9.9847,17.3199,-5.4878,-5.4878
9.9857,17.2751,-5.4268,-5.4268
9.9872,17.5098,-5.3659,-5.3659
9.9882,17.5104,-5.4878,-5.4878
9.9886,17.0797,-5.5488,-5.5488
9.9880,17.5155,-5.4268,-5.4268
9.9886,17.4315,-5.4268,-5.4268
9.9892,17.2582,-5.4268,-5.4268
9.9890,17.4026,-5.4268,-5.4268
9.9877,17.5824,-5.4878,-5.4878
9.9889,17.3779,-5.4878,-5.4878
9.9890,17.2358,-5.4878,-5.4878
9.9893,17.4825,-5.4878,-5.4878
9.9900,17.1482,-5.4878,-5.4878
9.9891,17.2323,-5.4268,-5.4268
9.9881,17.3238,-5.4878,-5.4878
9.9887,17.2821,-5.4878,-5.4878
9.9888,17.3562,-5.4268,-5.4268
9.9885,17.2813,-5.3659,-5.3659
9.9888,17.3144,-5.4878,-5.4878
9.9895,17.3963,-5.4268,-5.4268
9.9915,17.1522,-5.4268,-5.4268
9.9915,17.5871,-5.4878,-5.4878
9.9924,17.1669,-5.4878,-5.4878
9.9909,17.3348,-5.4878,-5.4878
9.9913,17.2476,-5.4268,-5.4268
9.9918,17.3442,-5.3659,-5.3659
9.9928,17.3209,-5.4268,-5.4268
